,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,SpectrumCOPYONWRITE,6,0,9973,96073.87131,7189.680680000002,49.0,51.9,71.4,92.2
1,SpectrumSTRAWMAN,6,0,9973,71508.59569999999,6199.250390000001,65.0,68.9,115.4,171.4
2,SpectrumNoPartialBASIC,6,0,9973,100148.47576999999,7981.7091299999975,43.6,46.7,81.4,119.5
3,SpectrumCOPYONWRITE,12,0,9973,176341.63856000002,27383.22908999999,51.6,61.4,80.9,103.7
4,SpectrumSTRAWMAN,12,0,9973,124908.38015999999,21249.74437000002,70.1,96.9,134.5,190.6
5,SpectrumNoPartialBASIC,12,0,9973,165205.15391999998,25496.942180000013,49.2,79.2,108.2,149.3
6,SpectrumCOPYONWRITE,18,0,9973,242291.26210999995,53979.510840000024,58.6,71.5,91.8,128.4
7,SpectrumSTRAWMAN,18,0,9973,166989.9197,39472.35014000002,87.7,112.5,156.4,208.8
8,SpectrumNoPartialBASIC,18,0,9973,212918.36832000004,45276.47215,75.0,85.0,128.0,187.1
9,SpectrumCOPYONWRITE,24,0,9973,297807.60234,83387.88375999997,65.5,79.2,104.5,162.7
10,SpectrumSTRAWMAN,24,0,9973,203984.26128,59359.53057000002,100.1,121.4,170.4,229.0
11,SpectrumNoPartialBASIC,24,0,9973,249833.59707999998,65438.98875000006,82.2,94.5,148.0,216.5
12,SpectrumCOPYONWRITE,30,0,9973,344739.31935999996,114077.12273000003,72.1,85.1,114.1,170.1
13,SpectrumSTRAWMAN,30,0,9973,236983.45470000003,80508.57518999992,109.2,130.0,182.5,244.0
14,SpectrumNoPartialBASIC,30,0,9973,286378.07759999996,87116.0442900001,85.9,113.3,164.8,235.4
15,SpectrumCOPYONWRITE,36,0,9973,387540.8199,145982.4716,77.5,90.3,125.8,208.5
16,SpectrumSTRAWMAN,36,0,9973,266478.72797,102327.32437,116.5,138.1,191.1,257.7
17,SpectrumNoPartialBASIC,36,0,9973,308715.58419,104988.27981999997,90.8,122.4,180.9,294.1
