,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,Calvin,6,0,9973,46437.16804,0.0,907.6,1111.4,1363.6,1564.0
1,AriaFB,6,0,9973,74597.60690000001,59148.04187999999,1040.8,1081.6,1127.8,1331.6
2,Aria,6,0,9973,75142.31916,43046.63275999999,999.2,1040.2,1101.0,1287.0
3,Sparkle,6,0,9973,92785.51717,10413.265899999988,46.0,55.2,87.1,124.4
4,Spectrum,6,0,9973,95674.34926,7163.781750000012,49.0,51.2,70.5,93.5
5,Serial,6,0,9973,23935.4,0.0,32.0,32.2,33.8,41.4
6,Calvin,12,0,9973,69729.99279999999,0.0,552.0,728.8,1000.4,1218.6
7,AriaFB,12,0,9973,139199.41148,110422.56581999999,533.2,568.0,615.6,947.8
8,Aria,12,0,9973,139054.22217999998,79741.51452000001,517.8,543.2,604.2,879.6
9,Sparkle,12,0,9973,149877.26495000004,32959.280929999935,64.6,86.3,121.3,161.7
10,Spectrum,12,0,9973,174025.27449000004,26872.62038999996,51.0,61.4,81.1,111.7
11,Serial,12,0,9973,23860.7,0.0,32.0,32.4,34.0,40.6
12,Calvin,18,0,9973,80918.94048000002,0.0,429.2,600.6,881.0,1149.6
13,AriaFB,18,0,9973,186922.9447,146624.49690000003,356.2,374.6,430.6,581.6
14,Aria,18,0,9973,191939.68486,108102.42785999998,335.6,353.0,416.4,512.2
15,Sparkle,18,0,9973,189827.32522,57705.41947000004,83.6,94.9,138.2,201.7
16,Spectrum,18,0,9973,237486.9904,52448.281379999964,57.7,71.2,91.6,132.4
17,Serial,18,0,9973,23884.5,0.0,32.0,32.2,34.0,41.0
18,Calvin,24,0,9973,84682.52838,0.0,402.2,602.8,917.0,1158.4
19,AriaFB,24,0,9973,232658.79188,184440.12356000004,294.8,313.2,375.4,594.0
20,Aria,24,0,9973,231421.07358,132611.92842,289.8,306.0,368.0,483.6
21,Sparkle,24,0,9973,219204.65556,82233.01653999998,89.8,117.4,168.9,288.2
22,Spectrum,24,0,9973,290603.61359,80733.10828,65.1,78.1,101.0,144.7
23,Serial,24,0,9973,23871.5,0.0,32.0,32.4,34.0,40.0
24,Calvin,30,0,9973,81184.6057,0.0,408.0,601.6,924.8,1210.2
25,AriaFB,30,0,9973,252866.12664,198265.58011999997,246.0,262.4,323.0,432.4
26,Aria,30,0,9973,258535.48602,145632.60686,234.8,250.4,315.6,390.8
27,Sparkle,30,0,9973,247467.13327000005,108027.79540999993,98.3,130.5,188.8,307.5
28,Spectrum,30,0,9973,332854.0446700001,109212.76988999988,71.0,83.7,112.1,197.2
29,Serial,30,0,9973,23884.5,0.0,32.0,32.2,34.0,53.0
30,Calvin,36,0,9973,73921.60718,0.0,350.4,546.0,842.6,1032.4
31,AriaFB,36,0,9973,247519.78002,186816.74140000003,191.8,207.2,270.6,375.2
32,Aria,36,0,9973,248208.15674,130827.16283999998,184.6,200.4,264.4,345.0
33,Sparkle,36,0,9973,264608.03366,130277.23880999997,112.6,141.0,211.5,412.2
34,Spectrum,36,0,9973,369888.70111,137816.14989000006,76.3,88.8,123.3,244.3
35,Serial,36,0,9973,23904.3,0.0,32.0,32.0,34.0,40.2
