,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,Calvin,6,0,9973,144660.65739999997,0.0,284.8,305.6,453.6,509.6
1,AriaFB,6,0,9973,216629.57061999998,65271.97146000001,323.2,357.0,382.6,424.4
2,Aria,6,0,9973,222993.75368,45585.51932000001,316.8,338.8,371.4,404.6
3,Sparkle,6,0,9973,283512.54569000006,9565.07544999998,12.9,19.0,27.3,44.3
4,Spectrum,6,0,9973,267852.92941000004,7316.996609999985,14.0,19.1,22.0,35.4
5,Serial,6,0,9973,65136.9,0.0,10.0,10.0,15.0,15.2
6,Calvin,12,0,9973,240028.75675999996,0.0,165.4,178.2,261.8,317.6
7,AriaFB,12,0,9973,390773.28952,117675.19084000005,157.6,182.8,206.0,252.8
8,Aria,12,0,9973,395429.27113999997,80916.55406000004,157.4,173.4,201.4,233.2
9,Sparkle,12,0,9973,426775.68483999994,35475.883540000024,19.0,24.5,46.9,86.9
10,Spectrum,12,0,9973,430189.05818000005,25409.017289999872,18.6,20.4,29.6,63.9
11,Serial,12,0,9973,65074.4,0.0,10.0,10.0,15.0,15.4
12,Calvin,18,0,9973,275872.50101999997,0.0,133.2,146.2,214.0,274.6
13,AriaFB,18,0,9973,462170.2767,135925.32298,110.8,132.8,154.6,195.6
14,Aria,18,0,9973,475841.24184,95018.65414000004,108.8,121.2,150.4,188.4
15,Sparkle,18,0,9973,489317.14533,65699.74416999993,22.0,34.4,70.1,160.9
16,Spectrum,18,0,9973,511175.95012,43888.414580000004,20.0,22.8,37.8,251.1
17,Serial,18,0,9973,65074.9,0.0,10.0,10.0,15.0,15.6
18,Calvin,24,0,9973,286061.14264000003,0.0,131.6,145.6,220.6,299.6
19,AriaFB,24,0,9973,493814.05082,148670.35375999994,102.8,127.0,153.4,191.0
20,Aria,24,0,9973,511923.13278,104970.84216,100.0,112.4,147.0,186.8
21,Sparkle,24,0,9973,482165.3417599999,92212.01077000005,30.3,47.4,107.1,240.9
22,Spectrum,24,0,9973,561192.71225,61027.04181000004,21.2,27.8,48.5,316.9
23,Serial,24,0,9973,65087.2,0.0,10.0,10.0,15.0,15.4
24,Calvin,30,0,9973,280687.4029,0.0,125.6,138.2,205.0,272.8
25,AriaFB,30,0,9973,488456.28106000007,144075.77112,90.6,115.6,140.2,181.0
26,Aria,30,0,9973,499270.6937999999,99564.1605200001,88.6,100.0,135.8,177.2
27,Sparkle,30,0,9973,450712.55473,114532.13495000005,39.0,64.9,159.3,410.6
28,Spectrum,30,0,9973,582408.67967,78621.9637600001,24.2,32.7,63.0,504.3
29,Serial,30,0,9973,65177.1,0.0,10.0,10.0,15.0,15.0
30,Calvin,36,0,9973,250227.64114000002,0.0,119.0,130.6,182.4,238.8
31,AriaFB,36,0,9973,419241.80769999995,113711.09776000008,77.0,103.0,123.2,161.0
32,Aria,36,0,9973,423009.77104,76891.64422000005,76.0,85.2,121.4,153.4
33,Sparkle,36,0,9973,387683.65879,124901.43270999989,49.6,87.1,233.2,646.9
34,Spectrum,36,0,9973,542236.82393,82560.12465000004,28.0,38.1,83.0,805.2
35,Serial,36,0,9973,65144.4,0.0,10.0,10.0,15.0,15.2
