,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,Calvin,6,0,9973,8471.889049999998,0.0,4419.1,6325.2,9053.8,11854.7
1,AriaFB,6,0,9973,6223.122720000001,2205.3335399999983,12964.1,14601.3,17381.4,21251.4
2,Aria,6,0,9973,6076.985920000001,2161.3258499999997,13418.6,14905.3,17506.1,20539.3
3,Sparkle,6,0,9973,6735.074100000001,489.3801999999996,962.0,995.8,1848.0,2154.9
4,Serial,6,0,9973,2434.03419,0.0,109.4,801.5,834.6,862.0
5,Spectrum,6,0,9973,6417.259790000001,324.82255999999904,1081.8,1121.7,1520.3,1889.7
6,Calvin,12,0,9973,11564.9805,0.0,2820.6,4053.7,6203.8,8200.9
7,AriaFB,12,0,9973,8873.92621,3200.162740000001,8923.2,10476.9,12899.1,14982.3
8,Aria,12,0,9973,8891.38931,3183.675779999999,9008.4,10347.3,12679.5,14980.0
9,Sparkle,12,0,9973,10107.60515,1510.7394700000004,986.3,1700.5,2110.0,2875.8
10,Serial,12,0,9973,2440.7814100000005,0.0,185.4,802.1,836.1,862.8
11,Spectrum,12,0,9973,10921.5521,1024.7173599999994,1098.0,1199.4,1732.6,2079.5
12,Calvin,18,0,9973,13081.799490000001,0.0,2211.0,3171.9,4934.6,6848.2
13,AriaFB,18,0,9973,10366.84757,3625.858519999999,7201.2,8367.7,10495.9,12223.7
14,Aria,18,0,9973,10378.240560000002,3620.3271099999997,7102.2,8307.5,10454.4,12395.1
15,Sparkle,18,0,9973,12405.24066,2771.0770500000012,1214.8,1860.8,2788.1,3657.3
16,Serial,18,0,9973,2429.3,0.0,110.1,802.2,836.7,863.0
17,Spectrum,18,0,9973,14821.463329999999,1965.4614700000034,1129.0,1404.3,1865.9,2224.5
18,Calvin,24,0,9973,14568.978069999997,0.0,2079.5,2999.0,4728.2,6557.2
19,AriaFB,24,0,9973,11726.469390000002,4182.3555,6744.1,7925.4,9874.1,11477.9
20,Aria,24,0,9973,11812.42816,4229.030409999999,6660.9,7715.1,9610.9,11460.0
21,Sparkle,24,0,9973,13910.818099999999,4245.0814599999985,1767.0,1955.5,3057.7,4104.2
22,Serial,24,0,9973,2425.3286099999996,0.0,250.5,801.8,835.9,861.6
23,Spectrum,24,0,9973,18302.996300000003,3076.161969999995,1212.4,1550.0,1966.0,2473.4
24,Calvin,30,0,9973,15296.12122,0.0,1868.0,2576.7,4188.6,5635.6
25,AriaFB,30,0,9973,12531.29076,4369.421039999998,5791.3,6778.2,8579.7,9584.8
26,Aria,30,0,9973,12418.217340000001,4344.019289999998,5855.4,6834.7,8551.3,9618.1
27,Sparkle,30,0,9973,15085.420160000003,5845.505169999995,1872.3,2634.1,3680.1,4663.1
28,Serial,30,0,9973,2429.95,0.0,303.6,802.2,836.7,863.2
29,Spectrum,30,0,9973,21566.79956,4356.501809999999,1313.8,1631.4,2059.0,2554.1
30,Calvin,36,0,9973,14953.941200000001,0.0,1640.7,2122.1,3386.6,4635.4
31,AriaFB,36,0,9973,11778.583609999998,3727.903780000002,5091.4,5672.5,6470.6,7225.0
32,Aria,36,0,9973,11896.48799,3775.112269999998,5020.5,5607.3,6403.2,7084.2
33,Sparkle,36,0,9973,15996.9515,7571.043270000004,1954.1,2803.2,3987.7,5214.4
34,Serial,36,0,9973,2419.13685,0.0,120.6,802.4,836.5,864.3
35,Spectrum,36,0,9973,24413.72802,5696.783970000001,1421.7,1746.6,2186.7,2744.3
