,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,Calvin,6,0,9973,14543.477169999998,0.0,2726.1,3692.0,5034.5,6258.4
1,AriaFB,6,0,9973,12254.47148,2328.44734,6332.6,7086.4,8728.8,12287.4
2,Aria,6,0,9973,12255.483760000001,2333.59826,6368.1,7061.2,8524.6,12083.9
3,Sparkle,6,0,9973,13792.797289999999,253.42363000000188,500.9,521.0,560.0,993.9
4,Serial,6,0,9973,4491.15,0.0,137.8,421.3,440.2,454.7
5,Spectrum,6,0,9973,12583.729580000001,173.8536099999983,557.0,577.6,647.5,873.4
6,Calvin,12,0,9973,21313.82975,0.0,1723.8,2320.5,3280.0,4219.7
7,AriaFB,12,0,9973,17433.980900000002,3306.4464299999963,4421.6,5007.3,6301.9,8180.4
8,Aria,12,0,9973,17455.528100000003,3335.217249999999,4406.2,4999.3,6196.2,8071.3
9,Sparkle,12,0,9973,23477.97373,865.368299999999,511.2,530.7,954.2,1080.6
10,Serial,12,0,9973,4467.7,0.0,120.0,421.4,441.2,452.6
11,Spectrum,12,0,9973,22364.617160000005,594.1155199999951,562.5,585.8,755.6,976.8
12,Calvin,18,0,9973,24307.307869999997,0.0,1329.2,1795.8,2683.4,3601.1
13,AriaFB,18,0,9973,20786.68518,3808.5824199999975,3433.3,3891.7,4725.8,6597.8
14,Aria,18,0,9973,20877.706209999997,3820.881029999998,3422.3,3866.6,4713.3,6094.6
15,Sparkle,18,0,9973,31518.82774,1724.7891700000037,516.8,550.2,993.9,1376.6
16,Serial,18,0,9973,4470.3,0.0,176.7,421.8,440.6,453.1
17,Spectrum,18,0,9973,31539.602899999998,1215.722080000001,566.1,596.2,826.2,1073.7
18,Calvin,24,0,9973,27441.742479999997,0.0,1264.6,1689.6,2479.0,3211.5
19,AriaFB,24,0,9973,23830.05315,4540.8054,3189.2,3594.0,4347.1,5484.5
20,Aria,24,0,9973,23938.047339999997,4578.5902399999995,3176.5,3565.4,4319.2,5622.3
21,Sparkle,24,0,9973,38124.92879,2778.616419999994,524.6,832.2,1021.5,1478.6
22,Serial,24,0,9973,4484.75,0.0,204.2,421.4,440.7,451.7
23,Spectrum,24,0,9973,40196.177789999994,2003.0951100000007,573.5,629.4,881.0,1169.1
24,Calvin,30,0,9973,29030.67729,0.0,1150.2,1493.3,2230.8,2833.0
25,AriaFB,30,0,9973,25834.2262,4748.796470000004,2777.1,3105.7,3678.7,4295.3
26,Aria,30,0,9973,25885.56042,4747.33395,2773.7,3096.5,3695.3,4256.9
27,Sparkle,30,0,9973,43667.54157,3918.284460000001,539.3,935.2,1178.6,1594.0
28,Serial,30,0,9973,4483.6,0.0,109.4,421.4,441.0,452.2
29,Spectrum,30,0,9973,48237.917219999996,2914.994470000005,581.9,666.8,898.4,1072.0
30,Calvin,36,0,9973,28953.808879999997,0.0,1017.5,1245.2,1862.4,2337.5
31,AriaFB,36,0,9973,25947.30264,4099.728219999999,2182.5,2418.1,2877.9,3233.9
32,Aria,36,0,9973,25795.677289999996,4056.3217600000003,2193.7,2422.6,2869.8,3243.5
33,Sparkle,36,0,9973,48320.16569000001,5108.965260000003,572.4,968.8,1357.7,1667.2
34,Serial,36,0,9973,4463.5,0.0,147.2,420.8,439.8,455.9
35,Spectrum,36,0,9973,55676.101989999996,3948.7796300000164,597.8,716.6,941.2,1099.0
