,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,SpectrumNoPartial,6,0,9973,66113.42822,40435.16163999999,76.0,93.2,155.3,237.7
1,Spectrum,6,0,9973,79252.51937000001,41815.68168,58.2,74.1,104.4,152.0
2,SpectrumPreSched1,6,0,9973,79770.81460000001,38674.76261000001,58.1,74.1,95.7,122.1
3,Sparkle,6,0,9973,53030.13953,43967.026690000006,86.3,119.2,183.0,842.6
4,SparklePreSched,6,0,9973,68851.77754,33022.50268,74.5,89.6,129.3,167.2
5,SparklePartial,6,0,9973,76456.66472,40724.716100000005,62.1,78.9,101.1,127.8
6,SpectrumNoPartial,12,0,9973,75213.62899,98181.96454,124.8,173.4,290.9,1067.7
7,Spectrum,12,0,9973,109556.93519999999,117809.40563000002,86.2,111.7,180.0,305.7
8,SpectrumPreSched1,12,0,9973,117973.98873999999,113877.27695,86.6,107.3,143.0,175.8
9,Sparkle,12,0,9973,64883.95281,115799.98865,146.6,200.8,332.0,802.0
10,SparklePreSched,12,0,9973,94129.96368999999,79844.56649000001,108.7,142.7,204.7,253.0
11,SparklePartial,12,0,9973,115310.17959999999,120059.06410999999,88.9,107.8,146.5,182.3
12,SpectrumNoPartial,18,0,9973,79982.65608999999,162593.94481000002,181.9,258.0,459.3,875.6
13,Spectrum,18,0,9973,119665.58948000001,186113.30785,117.4,163.1,302.2,492.7
14,SpectrumPreSched1,18,0,9973,131968.98884,180817.21488,115.6,145.5,204.4,375.1
15,Sparkle,18,0,9973,62369.68716000001,175618.93443,223.6,311.0,648.5,1392.3
16,SparklePreSched,18,0,9973,103306.51604,117768.02296000002,150.2,199.0,280.9,459.4
17,SparklePartial,18,0,9973,122401.47864000002,180731.59194999997,116.5,149.4,325.0,608.3
18,SpectrumNoPartial,24,0,9973,60367.73479,171494.06600000002,287.6,559.5,1265.9,2287.5
19,Spectrum,24,0,9973,101760.34228999999,203891.87924999997,168.1,294.8,639.1,1072.2
20,SpectrumPreSched1,24,0,9973,129581.36182000002,225517.74812000003,155.6,196.7,359.2,553.9
21,Sparkle,24,0,9973,49263.58784,196069.76900000003,375.6,757.9,1747.7,3158.8
22,SparklePreSched,24,0,9973,109356.24123,152934.12945000004,197.8,253.6,349.2,452.3
23,SparklePartial,24,0,9973,111174.70060999999,209834.38123999996,159.4,300.2,666.1,1022.9
24,SpectrumNoPartial,30,0,9973,58284.32985,215836.38657,538.8,962.5,1866.1,2793.8
25,Spectrum,30,0,9973,94079.91344999998,230707.98876999994,268.6,424.4,895.9,1496.9
26,SpectrumPreSched1,30,0,9973,125912.99393,264366.9725699999,202.8,273.8,484.3,807.8
27,Sparkle,30,0,9973,38085.956190000004,201449.73646,717.4,1313.4,2750.8,4625.9
28,SparklePreSched,30,0,9973,96976.51890000001,160210.04536000002,264.9,354.6,655.8,1035.6
29,SparklePartial,30,0,9973,101719.65427000001,233214.11360999997,313.6,505.3,948.7,1471.4
30,SpectrumNoPartial,36,0,9973,59221.743319999994,273049.54128999996,602.0,935.4,1766.7,2734.7
31,Spectrum,36,0,9973,83245.93927,241020.62670999998,418.2,651.1,1219.2,1983.2
32,SpectrumPreSched1,36,0,9973,109813.34322999997,269085.58285999997,269.9,428.6,818.2,1250.0
33,Sparkle,36,0,9973,31154.82682,211726.69538,1465.4,2188.6,3594.6,4913.9
34,SparklePreSched,36,0,9973,100823.0552,191562.19747,322.9,429.3,639.2,882.6
35,SparklePartial,36,0,9973,76088.87021,205538.10395,621.1,965.6,1682.5,2362.9
36,SpectrumPreSched2,6,0,9973,77847.42628000001,32362.2189,60.0,75.8,99.2,124.1
37,SpectrumPreSched2,12,0,9973,111148.5016,88100.86132,91.6,114.6,153.5,189.7
38,SpectrumPreSched2,18,0,9973,120138.09860999999,130528.30156,132.4,164.6,218.4,274.6
39,SpectrumPreSched2,24,0,9973,114297.42782999999,153388.05043,185.8,227.2,337.3,601.7
40,SpectrumPreSched2,30,0,9973,112887.17796,178318.66595,239.5,286.7,429.4,623.8
41,SpectrumPreSched2,36,0,9973,109584.75654,197138.26572,298.1,353.6,523.5,753.9
42,SpectrumPreSched,6,0,9973,79720.18991,38573.21336999999,58.8,74.6,96.9,121.0
43,SpectrumPreSched,12,0,9973,118226.12971000001,113881.12333,87.0,107.7,145.5,176.1
44,SpectrumPreSched,18,0,9973,131972.37325999996,180468.45474000004,115.9,146.0,203.8,387.0
45,SpectrumPreSched,24,0,9973,126541.09932,219843.08373,154.8,199.1,404.2,659.3
46,SpectrumPreSched,30,0,9973,126030.87070999997,265543.52705000003,201.4,272.1,498.7,722.0
47,SpectrumPreSched,36,0,9973,126037.14386,311845.67036,253.1,343.6,529.8,803.7
