,protocol,threads,zipf,table_partition,commit,abort,operation,latency_50,latency_75,latency_95,latency_99
0,SpectrumNoPartial,36,10,9973,50028.65829,6097.925350000005,418221533.81686,548.0,920.2,1352.5,1764.1
1,Spectrum,36,10,9973,57435.78442,4044.5923899999934,420268046.1563,578.0,700.2,911.4,1077.3
2,SpectrumNoPartial,36,15,9973,26849.5080375,7623.313362500001,386221237.56819993,1325.875,1558.875,2524.0,3086.75
3,Spectrum,36,15,9973,36046.088659999994,5228.811440000002,391983137.26517004,932.6,1161.4,1439.5,1923.3
4,SpectrumNoPartial,36,20,9973,15939.22421,8818.92582,377102865.6939599,1899.7,2680.5,4057.2,5261.5
5,Spectrum,36,20,9973,24759.5256,6000.613339999996,362007314.13048995,1409.1,1707.1,2135.0,2619.9
6,SpectrumNoPartial,36,25,9973,10015.77484,10139.224499999998,392775504.73236006,3290.8,4360.1,6370.7,7869.9
7,Spectrum,36,25,9973,18357.664299999997,6560.297080000004,345347016.47003,1918.2,2280.9,2893.7,3465.9
8,SpectrumNoPartial,36,30,9973,6490.214320000001,11682.52056,433778116.96633995,5211.4,6543.2,9114.9,10977.7
9,Spectrum,36,30,9973,13993.899469999998,6870.076640000002,327441298.40499,2515.7,2985.2,3806.7,4552.1
