,protocol,threads,zipf,table_partition,commit,abort,operation,latency_50,latency_75,latency_95,latency_99
0,SpectrumNoPartial,36,0.9,9973,316967.57239999995,108117.10605000006,470630805.19225997,91.3,122.9,179.0,265.1
1,Spectrum,36,0.9,9973,388233.22456000006,146058.65230000005,468603815.84742004,77.2,89.8,123.5,230.9
2,SpectrumNoPartial,36,1.0,9973,158143.35768000002,187305.92622999998,370555709.52671003,176.9,265.7,534.1,974.7
3,Spectrum,36,1.0,9973,212825.92693,226612.06411999994,288997838.91387,126.6,224.3,416.3,666.1
4,SpectrumNoPartial,36,1.1,9973,54183.20184000001,251605.23750999998,310676806.80135,664.0,1063.5,2023.3,3155.5
5,Spectrum,36,1.1,9973,82686.63208,238976.16361,152167944.51957998,432.3,679.9,1285.3,1921.3
6,SpectrumNoPartial,36,1.2,9973,16263.01671,213342.07162999996,222834409.91020003,2721.9,3711.0,5542.7,7330.2
7,Spectrum,36,1.2,9973,30183.88055,207496.62137999997,89041007.24706002,1458.0,2129.1,3435.4,4872.3
8,SpectrumNoPartial,36,1.3,9973,8272.576169999998,178444.59959000003,175595390.53800002,6795.9,8424.2,11202.5,13005.1
9,Spectrum,36,1.3,9973,14055.63103,161634.62111,60077342.26164,2962.5,4104.4,6080.4,7689.8
