,protocol,threads,zipf,table_partition,commit,abort,operation,latency_50,latency_75,latency_95,latency_99
0,SpectrumNoPartial,36,0.9,9973,1231849.21525,18062.545940000193,353270142.3128,20.0,24.9,41.1,84.1
1,Spectrum,36,0.9,9973,1264785.8917,17368.561480000244,359055680.18511,21.0,22.9,32.4,77.4
2,SpectrumNoPartial,36,1.0,9973,914072.4657299999,65840.82888999992,277818394.48221,26.1,37.2,75.6,136.8
3,Spectrum,36,1.0,9973,1065215.1656199999,62094.822769999875,307790706.95364994,22.0,27.9,51.8,107.5
4,SpectrumNoPartial,36,1.1,9973,493801.35898,139185.73103999998,179402705.04823,44.9,76.0,183.6,367.4
5,Spectrum,36,1.1,9973,733445.4144900001,126223.66876999979,219927162.65734,28.7,43.8,105.5,297.3
6,SpectrumNoPartial,36,1.2,9973,216032.38638999997,175847.94523999997,110255760.50639999,104.4,192.6,461.2,950.1
7,Spectrum,36,1.2,9973,459091.6003599999,154314.83907000005,144551353.24772,46.2,78.4,201.2,526.7
8,SpectrumNoPartial,36,1.3,9973,65893.08343000001,117808.72086999999,51210297.8787,314.7,804.0,2666.8,5365.3
9,Spectrum,36,1.3,9973,275002.86497,135080.01453999997,90507932.20084,79.1,155.6,452.5,1003.2
