,protocol,threads,zipf,table_partition,commit,abort,operation,memory,latency_50,latency_75,latency_95,latency_99
0,Spectrum,36,10,9973,55616.91509,3948.4827700000023,400205507.43802,2351183544.3497,597.9,720.7,941.1,1101.6
1,SpectrumNoPartial,36,10,9973,49476.40401,5870.028500000003,403524769.36469996,0.0,557.2,940.0,1374.3,1711.9
2,Spectrum,36,15,9973,35310.15650999999,4985.598970000004,373547504.74347997,1658659477.0489402,954.0,1185.6,1489.0,1949.3
3,SpectrumNoPartial,36,15,9973,27111.75086,7211.409869999998,375423660.65919,0.0,1339.2,1453.1,2344.5,3241.6
4,Spectrum,36,20,9973,24411.903620000005,5675.331969999994,345462571.45644,1275496856.5714698,1412.4,1739.3,2174.5,2674.0
5,SpectrumNoPartial,36,20,9973,16213.104889999999,8362.56434,364454221.48324,0.0,1862.7,2686.0,3978.2,5169.0
6,Spectrum,36,25,9973,18194.943330000002,6245.2149599999975,330610843.68484,1063359231.4373701,1940.6,2315.4,2942.8,3546.8
7,SpectrumNoPartial,36,25,9973,10227.49487,9599.076750000002,379958875.46885,0.0,3293.5,4371.8,6227.8,7795.8
8,Spectrum,36,30,9973,14072.658290000001,6567.8737200000005,317286431.408,920505778.5836099,2514.6,2994.6,3813.5,4586.3
9,SpectrumNoPartial,36,30,9973,6851.71465,10767.47001,411724089.93520993,0.0,5183.4,6514.2,8805.8,10620.0
