,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,Calvin,6,0,9973,160785.03654,0.0,593.0,625.4,662.4,799.2
1,AriaFB,6,0,9973,247411.3139,26.598279999988154,668.2,697.2,748.0,938.0
2,Aria,6,0,9973,247795.95432000002,10.960580000001936,668.2,696.4,746.8,957.6
3,Sparkle,6,0,9973,293361.61919999996,1.8990400000009686,14.0,18.8,23.2,45.4
4,Spectrum,6,0,9973,279477.7195,0.7997400000225753,15.0,19.2,23.4,34.0
5,Serial,6,0,9973,66824.4,0.0,10.0,10.0,15.0,16.2
6,Calvin,12,0,9973,297974.57232000004,0.0,312.2,327.8,352.6,512.0
7,AriaFB,12,0,9973,461018.25583999994,40.26268000006676,332.0,352.4,400.8,445.2
8,Aria,12,0,9973,460195.30647999997,15.04906000001356,332.6,352.4,401.0,455.2
9,Sparkle,12,0,9973,534604.8692999999,5.394800000172109,17.2,19.0,24.6,66.6
10,Spectrum,12,0,9973,513195.6746,4.794639999978244,18.4,20.0,25.4,61.6
11,Serial,12,0,9973,66978.0,0.0,10.0,10.0,15.0,16.4
12,Calvin,18,0,9973,417584.43992000003,0.0,231.4,241.8,262.2,335.6
13,AriaFB,18,0,9973,644673.5390000001,61.26701999995858,234.2,252.4,304.0,414.4
14,Aria,18,0,9973,644816.07278,24.997139999829233,234.0,252.2,302.6,387.6
15,Sparkle,18,0,9973,741365.85122,8.886660000029952,19.0,20.0,34.0,67.2
16,Spectrum,18,0,9973,720713.38732,8.586099999863654,20.0,21.0,34.0,67.0
17,Serial,18,0,9973,66913.2,0.0,10.0,10.0,15.0,17.4
18,Calvin,24,0,9973,517905.46664000006,0.0,183.2,192.4,210.2,297.8
19,AriaFB,24,0,9973,773407.66136,73.15019999993964,175.0,191.8,242.4,307.2
20,Aria,24,0,9973,774801.8026399999,29.853400000091643,174.8,191.8,245.0,290.8
21,Sparkle,24,0,9973,931077.3896600001,15.363339999876917,19.0,21.0,36.2,70.2
22,Spectrum,24,0,9973,906052.5406,13.867920000106096,20.0,22.0,36.8,68.4
23,Serial,24,0,9973,66838.6,0.0,10.0,10.0,15.0,16.2
24,Calvin,30,0,9973,565630.1950000001,0.0,160.6,169.2,186.6,251.8
25,AriaFB,30,0,9973,821320.65192,73.18250000001862,144.4,160.8,216.6,317.0
26,Aria,30,0,9973,823470.9099999999,29.53754000002518,144.4,160.0,217.8,343.4
27,Sparkle,30,0,9973,1089577.1171999997,18.84556000009179,20.0,22.0,39.4,76.2
28,Spectrum,30,0,9973,1073940.41688,15.753099999949336,20.8,22.2,38.6,76.4
29,Serial,30,0,9973,67040.3,0.0,10.0,10.0,15.0,16.2
30,Calvin,36,0,9973,583253.59802,0.0,156.0,164.6,180.6,223.6
31,AriaFB,36,0,9973,835540.8917599999,72.93384000007063,134.0,149.0,208.4,425.6
32,Aria,36,0,9973,836697.8631,29.10770000005141,133.8,148.8,209.0,392.0
33,Sparkle,36,0,9973,1265820.32982,24.521680000051855,20.6,22.4,40.4,77.6
34,Spectrum,36,0,9973,1250421.23626,21.734820000082255,21.0,23.0,40.8,81.2
35,Serial,36,0,9973,66958.4,0.0,10.0,10.0,15.0,16.0
