,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,Calvin,6,0,9973,25398.686299999998,0.0,1632.8,2053.6,2684.4,3410.4
1,AriaFB,6,0,9973,23477.19212,1725.1802199999977,3272.2,3579.8,4103.2,5426.8
2,Aria,6,0,9973,23185.47808,1747.82978,3311.6,3632.2,4257.8,5317.2
3,Sparkle,6,0,9973,26223.38832,123.83806000000331,263.2,274.6,289.6,507.0
4,Spectrum,6,0,9973,24000.1999,82.45878000000084,288.4,300.6,334.2,467.0
5,Serial,6,0,9973,8145.2,0.0,132.2,217.8,228.4,234.0
6,Calvin,12,0,9973,39171.97742,0.0,978.8,1239.2,1691.2,2267.6
7,AriaFB,12,0,9973,34728.58688,2570.979080000002,2167.6,2401.4,2837.8,4858.8
8,Aria,12,0,9973,34787.22204,2603.232640000002,2162.2,2395.2,2810.0,4655.6
9,Sparkle,12,0,9973,46839.44252,427.31576000000933,266.0,278.0,312.0,536.2
10,Spectrum,12,0,9973,43054.16576,296.6053399999975,290.6,304.2,356.6,529.2
11,Serial,12,0,9973,8169.1,0.0,53.2,217.8,228.8,233.8
12,Calvin,18,0,9973,43808.47776,0.0,809.2,1030.4,1480.0,1914.0
13,AriaFB,18,0,9973,41414.67994,2883.325900000002,1680.8,1853.4,2189.0,3283.8
14,Aria,18,0,9973,41456.15064,2889.268419999996,1685.0,1863.4,2185.4,3463.4
15,Sparkle,18,0,9973,66002.66046,859.0231800000067,269.0,280.4,456.2,627.8
16,Spectrum,18,0,9973,61957.072620000006,600.1784400000004,291.2,304.0,352.4,472.6
17,Serial,18,0,9973,8199.1,0.0,50.2,217.6,227.8,233.6
18,Calvin,24,0,9973,52710.16038,0.0,704.4,900.4,1215.0,1553.6
19,AriaFB,24,0,9973,48387.170079999996,3565.3881600000022,1521.4,1674.8,1971.4,2525.8
20,Aria,24,0,9973,48667.78954,3585.2774400000053,1525.0,1663.8,1939.2,2426.6
21,Sparkle,24,0,9973,82509.56206,1425.080979999993,275.0,291.4,491.8,569.2
22,Spectrum,24,0,9973,79227.31074,1035.8052600000053,295.6,313.0,384.2,488.0
23,Serial,24,0,9973,8143.6,0.0,11.4,217.0,228.4,233.8
24,Calvin,30,0,9973,56658.01668,0.0,646.8,789.0,1087.8,1344.6
25,AriaFB,30,0,9973,52660.72812,3672.963380000007,1314.6,1431.4,1628.4,1833.8
26,Aria,30,0,9973,52860.80658,3694.2695999999996,1303.8,1427.8,1648.8,1859.6
27,Sparkle,30,0,9973,98067.3978,2114.7557399999932,277.6,300.6,510.2,599.4
28,Spectrum,30,0,9973,96544.68906,1535.1026799999993,298.6,320.2,408.2,497.4
29,Serial,30,0,9973,8112.9,0.0,127.4,217.6,228.8,234.0
30,Calvin,36,0,9973,56695.39142,0.0,571.8,661.0,937.4,1102.4
31,AriaFB,36,0,9973,52006.447980000004,2990.576779999997,1021.2,1109.8,1296.8,1514.8
32,Aria,36,0,9973,52925.60648,3046.8227799999995,1011.8,1093.6,1245.0,1454.8
33,Sparkle,36,0,9973,112821.65896,2829.680939999991,280.0,315.2,520.6,638.0
34,Spectrum,36,0,9973,113642.09554000001,2102.429159999988,299.8,326.0,426.2,506.2
35,Serial,36,0,9973,8164.5,0.0,89.2,217.8,228.6,234.2
