,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
4,Sparkle,6,0,9973,52631.63578999999,43583.83953000001,86.0,119.0,185.6,585.5
10,Sparkle,12,0,9973,63876.52823999999,114141.30439000002,149.7,206.1,346.2,772.0
16,Sparkle,18,0,9973,59528.57142000001,168851.44856,232.7,325.0,714.4,1412.8
22,Sparkle,24,0,9973,51895.570920000006,205061.33383,356.9,659.3,1466.7,2666.5
28,Sparkle,30,0,9973,39875.73716,209657.92480999997,852.8,1433.1,2887.2,4356.3
34,Sparkle,36,0,9973,29090.11604,197900.37154999998,1505.7,2350.9,3982.3,5392.9
0,SpectrumNoPartial,6,0,9973,65171.94604999999,39847.80902000001,76.1,94.6,155.0,227.2
6,SpectrumNoPartial,12,0,9973,79607.20683,104466.96405000002,125.2,173.9,284.1,443.4
12,SpectrumNoPartial,18,0,9973,76723.55671,156450.19221,184.9,265.5,541.7,958.7
18,SpectrumNoPartial,24,0,9973,72319.86731,205616.07387000002,262.7,426.8,877.2,1492.3
24,SpectrumNoPartial,30,0,9973,58978.38691,218888.78520999997,461.2,804.2,1620.3,2612.1
30,SpectrumNoPartial,36,0,9973,42571.02764,196489.48888999995,1024.9,1687.0,3006.7,4385.1
3,SpectrumPreSched,6,0,9973,77973.26337,37825.037469999996,60.8,77.6,101.8,127.2
9,SpectrumPreSched,12,0,9973,118141.83767,113599.40322000002,86.4,106.2,143.8,179.4
15,SpectrumPreSched,18,0,9973,131499.11052,180189.29381,116.9,147.5,204.8,394.3
21,SpectrumPreSched,24,0,9973,130591.19191000001,223714.72711,155.1,195.7,374.5,671.6
27,SpectrumPreSched,30,0,9973,128146.50555999999,269620.70204000006,199.2,272.3,480.2,678.4
33,SpectrumPreSched,36,0,9973,118236.98180999998,291674.14597,264.3,392.7,663.5,1019.8
1,SpectrumNoPartialPreSched,6,0,9973,69179.97104444444,37219.20124444444,75.22222222222223,88.66666666666667,131.33333333333334,174.0
7,SpectrumNoPartialPreSched,12,0,9973,88632.61674,98343.83906000004,119.1,157.4,216.8,276.0
13,SpectrumNoPartialPreSched,18,0,9973,94319.58042000001,159245.7043,170.8,220.0,309.3,408.6
19,SpectrumNoPartialPreSched,24,0,9973,88935.36838,206790.60673,233.6,303.5,531.5,878.4
25,SpectrumNoPartialPreSched,30,0,9973,84746.67315555556,254417.4269666667,304.22222222222223,412.1111111111111,767.7777777777778,1176.7777777777778
31,SpectrumNoPartialPreSched,36,0,9973,69301.3845,257540.22942222224,497.8888888888889,895.1111111111111,1705.2222222222222,2454.1111111111113
5,SparklePreSched,6,0,9973,68629.50557,32950.621920000005,74.2,90.2,131.3,169.5
11,SparklePreSched,12,0,9973,93752.77296999999,79735.69768,109.9,143.3,203.5,248.8
17,SparklePreSched,18,0,9973,104215.57901,118835.39112000004,150.3,197.4,272.6,396.0
23,SparklePreSched,24,0,9973,99965.82579999999,140249.4958,203.3,263.6,512.6,827.3
29,SparklePreSched,30,0,9973,93307.10114,162190.54627,261.3,348.6,616.7,879.1
35,SparklePreSched,36,0,9973,78941.05559,150497.18844,354.7,591.9,1224.6,1900.8
2,Spectrum,6,0,9973,78290.99135,41328.090139999986,57.8,73.6,105.4,172.0
8,Spectrum,12,0,9973,109020.58761,117143.25475000004,86.2,112.4,178.0,397.3
14,Spectrum,18,0,9973,114103.32835000001,177528.62322999997,118.4,165.4,337.1,602.4
20,Spectrum,24,0,9973,110453.36581000002,222042.07691000006,165.4,271.0,557.3,957.2
26,Spectrum,30,0,9973,94421.77938,230917.42058999994,291.5,475.9,898.7,1390.2
32,Spectrum,36,0,9973,76036.95536,219117.41261,504.6,814.3,1447.6,2103.2
36,SpectrumPreSched2,6,0,9973,77847.42628000001,32362.2189,60.0,75.8,99.2,124.1
37,SpectrumPreSched2,12,0,9973,111148.5016,88100.86132,91.6,114.6,153.5,189.7
38,SpectrumPreSched2,18,0,9973,120138.09860999999,130528.30156,132.4,164.6,218.4,274.6
39,SpectrumPreSched2,24,0,9973,115297.42782999999,153388.05043,185.8,227.2,337.3,601.7
40,SpectrumPreSched2,30,0,9973,112887.17796,178318.66595,239.5,286.7,429.4,623.8
41,SpectrumPreSched2,36,0,9973,109584.75654,197138.26572,298.1,353.6,523.5,753.9
0,SpectrumPreSched3,6,0,9973,78521.13943,37523.48826,59.9,75.8,96.9,122.1
1,SpectrumPreSched3,12,0,9973,117162.29106,111621.63443,87.4,107.3,144.9,180.2
2,SpectrumPreSched3,18,0,9973,129807.57230000003,175770.97180999993,116.6,146.4,211.0,429.4
3,SpectrumPreSched3,24,0,9973,127905.67826999999,220588.82065999997,155.3,197.4,395.6,670.3
4,SpectrumPreSched3,30,0,9973,129052.41107,269270.79678999993,200.3,259.5,464.2,694.6
5,SpectrumPreSched3,36,0,9973,118302.04437000002,269401.62677,272.8,459.6,813.5,1133.4
