,protocol,threads,zipf,table_partition,commit,abort,latency_50,latency_75,latency_95,latency_99
0,Calvin,6,0,9973,56878.76326,0.0,1692.6,1725.4,1774.4,2834.6
1,AriaFB,6,0,9973,78933.01246000001,597.9821999999928,1879.2,1939.0,2050.2,3817.6
2,Aria,6,0,9973,85348.17564,207.63652000000002,1855.2,1914.2,2001.8,3722.8
3,Sparkle,6,0,9973,105886.43925999998,7.494599999999627,46.8,48.0,55.4,87.2
4,Spectrum,6,0,9973,98195.27816000002,5.79071999998996,50.0,52.0,63.0,132.6
5,Serial,6,0,9973,24402.8,0.0,33.0,33.8,35.0,42.2
6,Calvin,12,0,9973,110218.79638,0.0,851.6,868.2,903.6,1435.6
7,AriaFB,12,0,9973,156552.33968,1112.10830000001,910.4,954.4,1014.0,1455.6
8,Aria,12,0,9973,167292.22692000002,417.33946,901.8,943.4,994.4,1093.0
9,Sparkle,12,0,9973,210587.20024,33.654839999973774,47.0,48.8,55.6,99.6
10,Spectrum,12,0,9973,196622.53542,24.26156000001356,50.4,52.0,61.4,107.2
11,Serial,12,0,9973,24460.6,0.0,33.0,33.6,35.2,41.8
12,Calvin,18,0,9973,162539.40783999997,0.0,604.6,617.2,646.8,703.8
13,AriaFB,18,0,9973,228339.10189999998,1662.69972000001,625.4,676.4,726.8,818.8
14,Aria,18,0,9973,242720.49709999998,613.1764200000092,623.6,668.4,715.0,770.0
15,Sparkle,18,0,9973,314483.03896000003,71.3718799999915,48.0,49.0,55.6,80.6
16,Spectrum,18,0,9973,295202.151,53.88611999996938,51.0,52.0,61.2,102.4
17,Serial,18,0,9973,24493.0,0.0,33.0,33.4,35.0,40.4
18,Calvin,24,0,9973,213392.37096000003,0.0,458.4,469.4,496.6,598.2
19,AriaFB,24,0,9973,298939.7455,2129.6224200000056,444.6,490.8,540.0,713.2
20,Aria,24,0,9973,318894.71817999997,757.4691000000573,442.2,488.0,533.0,567.8
21,Sparkle,24,0,9973,415104.04981999996,116.91222000000998,48.0,49.0,54.8,75.8
22,Spectrum,24,0,9973,393995.0631,88.77833999996074,51.2,52.2,60.6,75.8
23,Serial,24,0,9973,24454.5,0.0,33.0,33.8,35.0,41.2
24,Calvin,30,0,9973,259100.29213999998,0.0,363.2,373.8,396.0,484.6
25,AriaFB,30,0,9973,361963.47134,2427.005360000022,332.0,369.0,428.8,462.4
26,Aria,30,0,9973,384089.28572,872.023799999943,331.0,369.4,420.4,542.0
27,Sparkle,30,0,9973,514674.52337999997,191.49710000008344,49.0,50.0,55.4,67.8
28,Spectrum,30,0,9973,488497.74884,135.9790599999018,51.2,52.2,60.6,75.0
29,Serial,30,0,9973,24456.7,0.0,33.0,33.6,35.4,40.2
30,Calvin,36,0,9973,299163.96996,0.0,323.0,333.2,353.0,413.6
31,AriaFB,36,0,9973,405923.3217399999,2721.7774600000585,281.8,311.0,385.6,427.0
32,Aria,36,0,9973,437140.30608,987.900540000014,280.2,303.6,371.6,400.6
33,Sparkle,36,0,9973,607656.06938,262.3196600000374,49.4,50.6,56.6,79.6
34,Spectrum,36,0,9973,583285.9076,196.9279600000009,52.0,53.0,61.4,74.0
35,Serial,36,0,9973,24302.3,0.0,33.0,34.0,35.6,43.2
