,protocol,threads,zipf,table_partition,commit,abort
0,Calvin,6,0,9973,44722.0,0.0
1,Aria,6,0,9973,80983.5082,6.996500000008382
2,AriaRe,6,0,9973,105803.0985,4.497700000007171
3,Sparkle,6,0,9973,6.9965,38974.5127
4,Spectrum,6,0,9973,184824.088,4.497700000007171
5,Calvin,12,0,9973,44714.2857,0.0
6,Aria,12,0,9973,93969.0155,7.995999999999185
7,AriaRe,12,0,9973,88576.0,3.0
8,Sparkle,12,0,9973,8.991,75388.61140000001
9,Spectrum,12,0,9973,183186.8132,1.9979999999923166
10,Calvin,18,0,9973,45069.9301,0.0
11,Aria,18,0,9973,81152.0,7.0
12,AriaRe,18,0,9973,79640.1799,2.9985000000015134
13,Sparkle,18,0,9973,13.4663,126147.631
14,Spectrum,18,0,9973,189495.509,1.4970000000030268
15,Calvin,24,0,9973,45248.004,0.0
16,Aria,24,0,9973,68795.2048,4.495499999989988
17,AriaRe,24,0,9973,67422.2889,1.9989999999961583
18,Sparkle,24,0,9973,25.9222,201411.2662
19,Spectrum,24,0,9973,192736.6584,1.4962000000232365
20,Calvin,30,0,9973,45311.8762,0.0
21,Aria,30,0,9973,53706.2937,4.495499999997264
22,AriaRe,30,0,9973,64863.5682,1.9989999999961583
23,Sparkle,30,0,9973,27.8884,277785.8566
24,Spectrum,30,0,9973,190166.9158,1.4948000000149477
